,0
0,GOOG
1,FOX_old
2,ATVI
3,BLK
4,ADBE
5,MMM
6,PPL
7,TWTR
8,BRID
9,NWY
10,AMSC
11,ACAT
12,VRTU
13,APIC
14,QRVO
15,LABL
16,ASNA
17,ENS
18,ABAX
19,NGL
20,EGHT
21,GWRE
22,CBRL
23,CPRI
24,JOY
25,BOOT
26,SHOS
27,PLAB
28,JVA
29,PSTG
30,EXAS
31,AXON
32,SSI
33,CST
34,TESS
35,COVS
36,THO
37,MLAB
38,VRNT
39,GME
40,PLAY
41,SMRT
42,ZUMZ
43,A
44,LAYN
45,PVH
46,URBN
47,HPE
48,BOX
49,FL
50,DVMT
51,KKD
52,GSIT
53,CMTL
54,CAL
55,CSWI
56,BIG
57,CIEN
58,VRA
59,NMBL
60,AMBA
61,DLTH
62,ENZ
63,MIK
64,DCI
65,ARRY
66,EXPR
67,SPLK
68,KMG
69,Fred
70,GCO
71,CPST
72,UNFI
73,CMD
74,HQY
75,PURE
76,ONVO
77,SPPI
78,SYUT
79,RAX
80,VIRC
81,SAIC
82,ADT
83,MGCD
84,EEI
85,LXRX
86,TSLA
87,NATI
88,CLC
89,WY
90,ENG
91,AZO
92,TPB
93,WFC
94,DELL
95,MSFT
96,ITI
97,FFIV
98,BBBY
99,GS
100,TRNS
101,MU
102,ABBV
103,ACN
104,AGN
105,AYI
106,AET
107,AES
108,AMG
109,AFL
110,AMZN
111,SITE
112,LZB
113,Fuel
114,BREW
115,ABT
116,MEI
117,CYAN
118,HLI
119,WSCI
120,ALXN
121,ALK
122,AMGN
123,APH
124,ADI
125,AEP
126,AVB
127,AVY
128,AN
129,AIZ
130,T
131,AJG
132,ADM
133,AMAT
134,AON
135,APC
136,AME
137,AMP
138,AMT
139,AAL
140,AEE
141,ALL
142,ADS
143,ALLE
144,AKAM
145,IBM
146,SLNM
147,GAS
148,BXP
149,BWA
150,BA
151,BIIB
152,BBY
153,BRKA
154,BDX
155,BCR
156,BHI
157,BAC
158,ICPT
159,TGT
160,ASNB
161,MDT
162,KITE
163,TPCS
164,EIGI
165,BNED
166,CAMP
167,AVAV
168,REMI
169,AMWD
170,GIS
171,PRU
172,JBL
173,MON
174,DTRM
175,QLGC
176,LNN
177,UA
178,DG
179,CMG
180,PACB
181,O
182,TRUE
183,KO
184,CSCO
185,AZZ
186,IMGN
187,COR
188,PM
189,BOJA
190,VMW
191,SQ
192,NFLX
193,SNX
194,RAD
195,ARA
196,CRM
197,MMC
198,INTC
199,QCOM
200,GLUU
201,MS
202,SNAK
203,SBUX
204,SWY
205,ILMN
206,GBX
207,WBA
208,MSM
209,ALX
210,KMI
211,FIS
212,PPSI
213,MCO
214,C
215,ATU
216,PKE
217,TRIP
218,JNJ
219,DHR
220,EBF
221,CCF
222,LULU
223,AJX
224,WFM
225,FDS
226,HELE
227,P
228,WNDW
229,ARO
230,LEDS
231,RHT
232,SOTK
233,MOS
234,BHE
235,VIDE
236,PRTX
237,WINH
238,MYCC
239,SIRI
240,K
241,MAR
242,LII
243,KLXI
244,YUM
245,CLRB
246,KSU
247,CALD
248,SHLD
249,RICK
250,CBM
251,EOG
252,CBK
253,SBAC
254,ITGR
255,SRCL
256,VZ
257,BSQR
258,CLR
259,RSG
260,DNKN
261,NKE
262,LRCX
263,OLLI
264,WBC
265,CP
266,WINA
267,URI
268,NVEC
269,GGG
270,MIXX
271,SLM
272,HXL
273,ISRG
274,IVTY
275,LMT
276,NEM
277,EBAY
278,WHR
279,PII
280,ALV
281,TEL
282,SYK
283,MANH
284,HON
285,PAYX
286,CMCSA
287,UPS
288,GOOD
289,PEB
290,V
291,CDNS
292,ESRX
293,TBI
294,BRX
295,DRI
296,EW
297,CE
298,PYPL
299,WNC
300,DMRC
301,NUVA
302,EXP
303,MJCO
304,RRC
305,AAPL
306,SPG
307,AGHI
308,AGI
309,CBI
310,SXC
311,EXPE
312,ACRX
313,CIK
314,CPN
315,DRQ
316,HOT
317,PLD
318,GPRO
319,USAP
320,SPNC
321,ESI
322,SFS
323,CHE
324,GPC
325,CHSP
326,WCIC
327,WYN
328,FLEX
329,KWR
330,PEG
331,CUBE
332,HLS
333,WFT
334,MKTX
335,FEIM
336,MPWR
337,MOBL
338,CF
339,ROP
340,LNT
341,NI
342,DISCA
343,CMI
344,CBOE
345,ACCO
346,FB
347,XOM
348,BC
349,TWX
350,ROK
351,DVN
352,JLL
353,CSU
354,TST
355,GRC
356,EMN
357,KAR
358,NFX
359,SGY
360,HNI
361,FELE
362,OXFD
363,XYL
364,RYAM
365,FET
366,LKQ
367,ETN
368,DNB
369,TUP
370,GM
371,CCOI
372,SNHY
373,ANSS
374,SGM
375,SMP
376,AMOT
377,PGTI
378,SLG
379,GRA
380,CTSH
381,CROX
382,ALG
383,AWX
384,IBKC
385,NKSH
386,RMD
387,SEV
388,EXR
389,FTNT
390,BIO
391,LARK
392,IMPV
393,CTXS
394,OPHT
395,SBGI
396,LFUS
397,SKY
398,SHPGF
399,KLAC
400,GUID
401,ALB
402,BFAM
403,PG
404,H
405,MO
406,SRNE
407,TA
408,NE
409,SXT
410,MMI
411,BMRN
412,OZRK
413,VSTM
414,ON
415,HHC
416,BID
417,ASH
418,SQBG
419,RESI
420,TSN
421,NEPH
422,EPZM
423,DVAX
424,NATL
425,SOHU
426,ALR
427,MGM
428,REXR
429,RATE
430,TESO
431,NICK
432,JUVF
433,ITG
434,LAMR
435,BR
436,FOLD
437,NSPR
438,RDNT
439,SRT
440,FTEK
441,CALL
442,CNXR
443,EVH
444,GIDYL
445,COTV
446,MXPT
447,LOV
448,FCS
449,SPNE
450,EBIX
451,VDSI
452,RLOC
453,BSTG
454,BLFS
455,SHAK
456,RUN
457,NTRA
458,IAIC
459,CVSI
460,ISSC
461,MXIM
462,CAGU
463,AFI
464,COKE
465,XBIT
466,BVSN
467,TLCC
468,PROM
469,DDE
470,SOHO
471,PJT
472,VSTO
473,SFBC
474,CAH
475,MHH
476,NEOS
477,NWS
478,ABMC
479,ICPW
480,HPJ
481,SPAN
482,NLST
483,ARCI
484,MRCY
485,SPLS
486,HURN
487,AIRI
488,PRGB
489,CRIS
490,AWK
491,QNST
492,TMED
493,SAVE
494,CDNA
495,ZYXI
496,RGS
497,NVDA
498,LTRX
499,EL
500,ARAY
501,AEO
502,AOSL
503,SMCI
504,KE
505,DEST
506,OSTK
507,SKX
508,TIVO
509,LRDC
510,TECH
511,PAHC
512,SCSC
513,EXA
514,AEHR
515,GLGI
516,LLTC
517,DXLG
518,CETX
519,ULTA
520,CREE
521,CSII
522,BURL
523,LNTH
524,DKS
525,SMED
526,TPIC
527,JCP
528,PFGC
529,MENT
530,GES
531,TTC
532,TECD
533,GPN
534,BAH
535,LE
536,MTRX
537,PI
538,AL
539,LITE
540,INTU
541,GIII
542,NTAP
543,PTE
544,HPQ
545,JWN
546,AAP
547,ADSK
548,M
549,APD
550,SMTC
551,SIG
552,OXM
553,LB
554,low
555,KSS
556,WDAY
557,BRCD
558,COO
559,KEYS
560,ABC
561,CRL
562,EXTR
563,MEIP
564,ELMD
565,NDSN
566,KIRK
567,HURC
568,ANF
569,CASY
570,NEE
571,D
572,SO
573,SCG
574,DUK
575,AMD
576,AE
577,ACET
578,ARNC
579,AKRX
580,JWA
581,PDCO
582,BKE
583,AMSWA
584,TWMC
585,FCEL
586,MRVL
587,GMAN
588,MIND
589,VNCE
590,WSM
591,NSSC
592,FNSR
593,FIZZ
594,PANW
595,VEEV
596,ABM
597,ROST
598,EV
599,BONT
600,TOL
601,VAL
602,SCWX
603,PSTI
604,TCMD
605,SCVL
606,SIGM
607,STRT
608,SHLO
609,FRAN
610,SNOW
611,NAV
612,MKL
613,LUV
614,VISI
615,OOMA
616,MCFT
617,AVNW
618,CNNX
619,VALU
620,PPIH
621,PERF
622,CFI
623,AEPI
624,PSSR
625,PRXL
626,PRCP
627,FHB
628,WEN
629,Cost
630,HDS
631,PEP
632,CSC
633,CLX
634,SCX
635,UAL
636,ESP
637,CONN
638,SHOR
639,TWIN
640,DAL
641,SGMA
642,OCC
643,PSDV
644,EGAN
645,HOME
646,MMMB
647,USAT
648,GD
649,HUM
650,GILD
651,BSX
652,CENT
653,WMT
654,CHKE
655,RFIL
656,CSBR
657,LAKE
658,JPM
659,MCD
660,RP
661,LNC
662,PIR
663,GE
664,SWK
665,IHT
666,BMRA
667,BBT
668,BRO
669,PDEX
670,SANW
671,BRC
672,LPTH
673,FLWS
674,XCRA
675,BLL
676,SYY
677,TRN
678,CSX
679,IEHC
680,FLXS
681,CVX
682,CINF
683,HSY
684,HRS
685,TAP
686,CPB
687,TIF
688,NBL
689,AGYS
690,HAS
691,UFI
692,F
693,SAFT
694,SVT
695,IDSY
696,WDC
697,HEI
698,MOV
699,GPS
700,MKC
701,OMC
702,UNAM
703,AIG
704,RDC
705,DY
706,BMI
707,TXN
708,GIMO
709,BLOX
710,BGG
711,LANC
712,BKH
713,AWI
714,MDP
715,AIT
716,CAT
717,NERV
718,SJM
719,APA
720,CACI
721,BAX
722,MAS
723,BMY
724,CL
725,BRS
726,EMR
727,PPG
728,CVS
729,CRWS
730,TJX
731,UMBF
732,FUL
733,SFD
734,STZ
735,PHH
736,FORD
737,NAII
738,SINO
739,YHOO
740,ORCL
741,KR
742,IVDN
743,EVI
744,KOOL
745,FDX
746,CERN
747,AMRK
748,CBKM
749,IPI
750,CLNE
751,LNG
752,SYNA
753,FSLR
754,BKNG
755,BRCM
756,DIS
757,EMC
758,IP
759,HD
760,GLW
761,UTX
762,PFE
763,MRK
764,TRV
765,CA
766,AHPI
767,TBTC
768,HGEN
769,MTN
770,MAMS
771,KANP
772,LCUT
773,FEYE
774,EGLT
775,DYNT
776,FKWL
777,CPRT
778,BWLA
779,SNA
780,TRT
781,CCL
782,EXEL
783,ALNY
784,CAG
785,BGS
786,GNTX
787,PNW
788,APOG
789,KMX
790,RECN
791,RPM
792,AXN
793,RT
794,INFO
795,VFC
796,RL
797,TPR
798,HBI
799,SSNI
800,MA
801,SCND
802,CTAS
803,WOR
804,SMIT
805,VLGEA
806,TSRI
807,MHK
808,MCHP
809,MNST
810,MYL
811,MUR
812,NLSN
813,NOC
814,MSI
815,OKE
816,OXY
817,PNR
818,PRGO
819,ORLY
820,NUE
821,MTD
822,HLF
823,AVP
824,MTB
825,CIT
826,EWBC
827,PBCT
828,STI
829,DOV
830,RAI
831,INCR
832,DPZ
833,TAYD
834,FAST
835,VAC
836,PVHO
837,IMSCQ
838,PRLB
839,SEIC
840,DGX
841,NWE
842,RSYS
843,SONC
844,VRTX
845,INT
846,OSIS
847,ALJ
848,BOKF
849,TYPE
850,WMB
851,MIC
852,PTEN
853,WAL
854,BGSF
855,INFN
856,HDSN
857,NTRI
858,HST
859,OMI
860,STBA
861,PNC
862,MAN
863,PODD
864,TSRO
865,DVA
866,DPLO
867,FOE
868,CHEF
869,KTWO
870,MASI
871,IRG
872,PGRE
873,BBRG
874,RIG
875,CCS
876,OGS
877,WR
878,PZZA
879,DXCM
880,EFH
881,PSX
882,MPC
883,S
884,SLB
885,SWKS
886,ACT
887,LOGI
888,ACIA
889,PH
890,ETR
891,RTN
892,SMG
893,ISIL
894,RNG
895,CR
896,QCP
897,AMTD
898,DLB
899,GEOS
900,SPB
901,HRC
902,NUTR
903,HAYN
904,GFF
905,MTSI
906,ABCD
907,WAIR
908,PVAC
909,WRK
910,NWGI
911,JCI
912,TFSL
913,HP
914,ARMK
915,VAR
916,HI
917,MSCC
918,KLIC
919,HOLX
920,SMID
921,FLUG
922,TSSI
923,PUB
924,NPTN
925,JAZZ
926,XPO
927,GEO
928,USFD
929,AGCO
930,HALO
931,JMBA
932,COHR
933,MNK
934,CSGS
935,SRDX
936,HNNA
937,AA
938,PFG
939,UNP
940,UNH
941,FLIR
942,ATKR
943,KTEC
944,MITK
945,IBOC
946,Golf
947,VERU
948,INFU
949,PHX
950,BL
951,ZEDG
952,TTWO
953,EA
954,TMO
955,DE
956,ULTI
957,CTL
958,SOFO
959,ALJJ
960,VSM
961,HRL
962,COTY
963,ANTM
964,AVGO_old
965,CHRW
966,COG
967,COF
968,HSIC
969,CBG
970,CBS
971,CNC
972,CNP
973,SCHW
974,CHTR
975,CHK
976,CB
977,CHD
978,CI
979,XEC
980,CME
981,CMS
982,CMA
983,CXO
984,COP
985,ED
986,CCI
987,CSRA
988,APTV
989,XRAY
990,DFS
991,DLTR
992,DOW
993,DPS
994,DTE
995,ETFC
996,ECL
997,EIX
998,ENDP_old
999,EQT
1000,EFX
1001,EQIX
1002,ESS
1003,ES
1004,EXPD
1005,FRT
1006,FITB
1007,FISV
1008,FLS
1009,FLR
1010,FMC
1011,FTI_old
1012,FTV
1013,FBHS
1014,BEN
1015,FCX
1016,GGP_old
1017,GT
1018,HAL
1019,HOG
1020,HAR
1021,HCA
1022,HCP
1023,HBAN
1024,ITW
1025,IR
1026,ICE
1027,IPG
1028,IFF
1029,IVZ
1030,IRM
1031,JEC
1032,JBHT
1033,KEY
1034,KIM
1035,LLL
1036,LH
1037,LEG
1038,LVLT
1039,LUK
1040,LLY
1041,L
1042,LYB
1043,Mac
1044,MRO
1045,MLM
1046,MAT
