Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";Revenue;"Provision for Loan Losses";"Net Revenue after Provisions";"Total Non-Interest Expense";"Operating Income (Loss)";"Non-Operating Income (Loss)";"Pretax Income (Loss)";"Income Tax (Expense) Benefit, Net";"Income (Loss) from Continuing Operations";"Net Extraordinary Gains (Losses)";"Net Income";"Net Income (Common)"
AJX;90767;USD;2014;Q4;2014-12-31;2015-02-12;2017-03-02;10152839;10773105;3977000;;3977000;-1451000;2526000;;2526000;;2526000;;2428000;2428000
AJX;90767;USD;2015;Q1;2015-03-31;2015-05-13;2016-05-16;13008268;13680687;6033000;;6033000;-2218000;3815000;;3815000;;3815000;;3640000;3640000
AJX;90767;USD;2015;Q2;2015-06-30;2015-08-13;2016-08-04;15237739;15909634;8810000;;8810000;-3135000;5675000;;5675000;-16000;5659000;;5436000;5436000
AJX;90767;USD;2015;Q3;2015-09-30;2015-11-12;2016-11-03;15273818;15926052;10936000;;10936000;-3003000;7933000;;7933000;-8000;7925000;;7614000;7614000
AJX;90767;USD;2015;Q4;2015-12-31;2016-03-29;2018-03-08;15326615;15973579;11789000;;11789000;-3418000;8371000;;8371000;;8393000;;8064000;8064000
AJX;90767;USD;2016;Q1;2016-03-31;2016-05-16;2017-05-03;15306519;15959202;11456000;;11456000;-3496000;7960000;;7960000;3000;7963000;;7651000;7651000
AJX;90767;USD;2016;Q2;2016-06-30;2016-08-04;2017-08-03;15742932;16389126;10843000;;10843000;-3956000;6887000;;6887000;-26000;6861000;;6605000;6605000
AJX;90767;USD;2016;Q3;2016-09-30;2016-11-03;2017-11-08;17937079;18664586;12106000;;12106000;-4201000;7905000;;7905000;-18000;7887000;;7623000;7623000
AJX;90767;USD;2016;Q4;2016-12-31;2017-03-02;2018-03-08;17984998;18794714;12292000;;12292000;-5570000;6722000;;6157000;6000;6163000;;5957000;5957000
AJX;90767;USD;2017;Q1;2017-03-31;2017-05-03;2018-05-02;17976710;18791231;13667000;;13667000;-4968000;8699000;;8699000;-1000;8698000;;8409000;8409000
AJX;90767;USD;2017;Q2;2017-06-30;2017-08-03;2018-08-09;18008499;23026679;13105000;;13105000;-5737000;7368000;;7150000;-48000;7102000;;6864000;6864000
AJX;90767;USD;2017;Q3;2017-09-30;2017-11-08;2017-11-08;18072045;25246764;14226000;;14226000;-6463000;7763000;;7763000;-47000;7716000;;7470000;7470000
AJX;90767;USD;2017;Q4;2017-12-31;2018-03-08;2018-03-08;18239318;26209410;13797000;;13797000;-6211000;7586000;;6673000;-35000;6638000;;6184000;6184000
AJX;90767;USD;2018;Q1;2018-03-31;2018-05-02;2018-05-02;18508089;26395158;14743000;;14743000;-6405000;8338000;;8338000;-16000;8322000;;7665000;7665000
AJX;90767;USD;2018;Q2;2018-06-30;2018-08-09;2018-08-09;18595769;26476817;14777000;;14777000;-6562000;8215000;;8215000;-2000;8213000;;7521000;7521000
AJX;90767;USD;2018;Q3;2018-09-30;2018-11-07;2018-11-07;18691393;26592806;15115000;-365000;14750000;-6335000;8415000;;7579000;-84000;7495000;;6558000;6558000
AJX;90767;USD;2018;Q4;2018-12-31;2019-03-06;2019-03-06;18774853;23857403;14693000;;13894000;-6625000;7269000;;7269000;38000;7307000;;6596000;6596000
AJX;90767;USD;2019;Q1;2019-03-31;2019-05-08;2019-05-08;18811713;27829448;15338000;-154000;15184000;-6992000;8192000;;8192000;-71000;8121000;;7330000;7330000
